method,mean_objective,mean_mse,mean_l0
encoder,0.007972952909767628,0.0010089597199112177,0.17499999701976776
ista_cold,0.007918528281152248,0.0009301831014454365,0.1914999932050705
ista_warm,0.007918527349829674,0.000930180074647069,0.1914999932050705
gap_encoder_minus_ista_cold,5.442448309622705e-05,nan,nan
